"",Ticker,Country,Cap
0,A,USA,Large Cap
1,AA,USA,Small or Mid Cap
2,AAAU,USA,Small or Mid Cap
3,AAC,USA,Small or Mid Cap
4,AACG,China,Small or Mid Cap
5,AACI,USA,Small or Mid Cap
6,AACIW,USA,Small or Mid Cap
7,AADI,USA,Small or Mid Cap
8,AADR,USA,Small or Mid Cap
9,AAIC,USA,Small or Mid Cap
10,AAL,USA,Small or Mid Cap
11,AAME,USA,Small or Mid Cap
12,AAN,USA,Small or Mid Cap
13,AAOI,USA,Small or Mid Cap
14,AAON,USA,Small or Mid Cap
15,AAP,USA,Small or Mid Cap
16,AAPD,USA,Small or Mid Cap
17,AAPL,USA,Large Cap
18,AAPU,USA,Small or Mid Cap
19,AAT,USA,Small or Mid Cap
20,AAU,Canada,Small or Mid Cap
21,AAXJ,USA,Small or Mid Cap
22,AB,USA,Small or Mid Cap
23,ABB,Switzerland,Large Cap
24,ABBV,USA,Large Cap
25,ABC,USA,Large Cap
26,ABCB,USA,Small or Mid Cap
27,ABCL,Canada,Small or Mid Cap
28,ABCM,United Kingdom,Small or Mid Cap
29,ABEO,USA,Small or Mid Cap
30,ABEQ,USA,Small or Mid Cap
31,ABEV,Brazil,Large Cap
32,ABG,USA,Small or Mid Cap
33,ABIO,USA,Small or Mid Cap
34,ABM,USA,Small or Mid Cap
35,ABNB,USA,Large Cap
36,ABOS,USA,Small or Mid Cap
37,ABR,USA,Small or Mid Cap
38,ABSI,USA,Small or Mid Cap
39,ABST,Canada,Small or Mid Cap
40,ABT,USA,Large Cap
41,ABUS,USA,Small or Mid Cap
42,ABVC,USA,Small or Mid Cap
43,AC,USA,Small or Mid Cap
44,ACA,USA,Small or Mid Cap
45,ACAD,USA,Small or Mid Cap
46,ACB,Canada,Small or Mid Cap
47,ACCD,USA,Small or Mid Cap
48,ACCO,USA,Small or Mid Cap
49,ACDC,USA,Small or Mid Cap
50,ACEL,USA,Small or Mid Cap
51,ACER,USA,Small or Mid Cap
52,ACES,USA,Small or Mid Cap
53,ACET,USA,Small or Mid Cap
54,ACGL,Bermuda,Large Cap
55,ACGLN,Bermuda,Large Cap
56,ACGN,USA,Small or Mid Cap
57,ACHC,USA,Small or Mid Cap
58,ACHL,United Kingdom,Small or Mid Cap
59,ACHR,USA,Small or Mid Cap
60,ACHV,Canada,Small or Mid Cap
61,ACI,USA,Large Cap
62,ACIO,USA,Small or Mid Cap
63,ACIU,Switzerland,Small or Mid Cap
64,ACIW,USA,Small or Mid Cap
65,ACLS,USA,Small or Mid Cap
66,ACLX,USA,Small or Mid Cap
67,ACM,USA,Large Cap
68,ACMR,USA,Small or Mid Cap
69,ACN,Ireland,Large Cap
70,ACNB,USA,Small or Mid Cap
71,ACNT,USA,Small or Mid Cap
72,ACON,USA,Small or Mid Cap
73,ACOR,USA,Small or Mid Cap
74,ACP,USA,Small or Mid Cap
75,ACR,USA,Small or Mid Cap
76,ACRE,USA,Small or Mid Cap
77,ACRO,USA,Small or Mid Cap
78,ACRS,USA,Small or Mid Cap
79,ACRV,USA,Small or Mid Cap
80,ACRX,USA,Small or Mid Cap
81,ACST,Canada,Small or Mid Cap
82,ACT,USA,Small or Mid Cap
83,ACTG,USA,Small or Mid Cap
84,ACU,USA,Small or Mid Cap
85,ACV,USA,Small or Mid Cap
86,ACVA,USA,Small or Mid Cap
87,ACWI,USA,Small or Mid Cap
88,ACWV,USA,Small or Mid Cap
89,ACWX,USA,Small or Mid Cap
90,ACXP,USA,Small or Mid Cap
91,ADAG,China,Small or Mid Cap
92,ADAP,United Kingdom,Small or Mid Cap
93,ADBE,USA,Large Cap
94,ADC,USA,Small or Mid Cap
95,ADCT,Switzerland,Small or Mid Cap
96,ADD,USA,Small or Mid Cap
97,ADEA,USA,Small or Mid Cap
98,ADER,USA,Small or Mid Cap
99,ADES,USA,Small or Mid Cap
100,ADEX,USA,Small or Mid Cap
101,ADI,USA,Large Cap
102,ADIL,USA,Small or Mid Cap
103,ADM,USA,Large Cap
104,ADMA,USA,Small or Mid Cap
105,ADME,USA,Small or Mid Cap
106,ADMP,USA,Small or Mid Cap
107,ADN,USA,Small or Mid Cap
108,ADNT,Ireland,Small or Mid Cap
109,ADOC,USA,Small or Mid Cap
110,ADP,USA,Large Cap
111,ADPT,USA,Small or Mid Cap
112,ADPV,USA,Small or Mid Cap
113,ADSE,Ireland,Small or Mid Cap
114,ADSK,USA,Large Cap
115,ADT,USA,Small or Mid Cap
116,ADTH,USA,Small or Mid Cap
117,ADTHW,USA,Small or Mid Cap
118,ADTN,USA,Small or Mid Cap
119,ADTX,USA,Small or Mid Cap
120,ADUS,USA,Small or Mid Cap
121,ADV,USA,Small or Mid Cap
122,ADVM,USA,Small or Mid Cap
123,ADX,USA,Small or Mid Cap
124,ADXN,Switzerland,Small or Mid Cap
