Ticker,Sector,Country,Cap,P/E
0,A,Healthcare,USA,Large,28.48
1,AAP,Consumer Cyclical,USA,Mid,14.20
2,AAPL,Technology,USA,Large,29.23
3,AAT,Real Estate,USA,Small,22.40
4,ABB,Industrials,Switzerland,Large,23.44
5,ABCB,Financial,USA,Mid,6.23
6,ABEV,Consumer Defensive,Brazil,Large,15.56
7,ABM,Industrials,USA,Mid,15.16
8,ABNB,Consumer Cyclical,USA,Large,35.12
9,ABR,Real Estate,USA,Mid,8.45
10,ACA,Industrials,USA,Mid,11.84
11,ACGL,Financial,Bermuda,Large,14.35
12,ACI,Consumer Defensive,USA,Large,9.02
13,ACIW,Technology,USA,Mid,29.67
14,ACLS,Technology,USA,Mid,22.91
15,ACMR,Technology,USA,Small,12.12
16,ACN,Technology,Ireland,Large,25.70
17,ACNT,Basic Materials,USA,Small,15.35
18,ACU,Consumer Defensive,USA,Small,30.25
19,ADBE,Technology,USA,Large,34.03
20,ADC,Real Estate,USA,Mid,36.83
21,ADI,Technology,USA,Large,27.60
22,ADP,Industrials,USA,Large,27.13
23,ADUS,Healthcare,USA,Small,27.91
24,AEE,Utilities,USA,Large,20.03
25,AEIS,Industrials,USA,Mid,16.80
26,AEO,Consumer Cyclical,USA,Mid,21.15
27,AEP,Utilities,USA,Large,22.80
28,AER,Industrials,Ireland,Large,8.09
29,AFG,Financial,USA,Mid,12.06
30,AFYA,Consumer Defensive,Brazil,Small,13.64
31,AGCO,Industrials,USA,Mid,9.25
32,AGR,Utilities,USA,Large,21.98
33,AHH,Real Estate,USA,Small,11.82
34,AIT,Industrials,USA,Mid,14.96
35,AIZ,Financial,USA,Mid,28.99
36,AKAM,Technology,USA,Large,27.46
37,AL,Industrials,USA,Mid,9.17
38,ALB,Basic Materials,USA,Large,6.60
39,ALE,Utilities,USA,Mid,19.16
40,ALG,Industrials,USA,Mid,17.99
41,ALGM,Technology,USA,Mid,39.44
42,ALLE,Industrials,Ireland,Mid,19.23
43,ALSN,Consumer Cyclical,USA,Mid,7.89
44,ALV,Consumer Cyclical,Sweden,Mid,17.83
45,AMAT,Technology,USA,Large,16.20
46,AMCR,Consumer Cyclical,Switzerland,Large,15.65
47,AME,Industrials,USA,Large,28.00
48,AMEH,Healthcare,USA,Small,30.91
49,AMG,Financial,USA,Mid,6.05
50,AMGN,Healthcare,USA,Large,15.48
51,AMH,Real Estate,USA,Large,38.55
52,AMK,Financial,USA,Mid,21.20
53,AMN,Healthcare,USA,Mid,10.85
54,AMNB,Financial,USA,Small,8.08
55,AMOT,Technology,USA,Small,26.04
56,AMP,Financial,USA,Large,14.95
57,AMPH,Healthcare,USA,Mid,24.08
58,AMRC,Industrials,USA,Mid,28.81
59,AMSWA,Technology,USA,Small,36.19
60,AN,Consumer Cyclical,USA,Mid,5.33
61,ANDE,Consumer Defensive,USA,Small,13.05
62,ANET,Technology,USA,Large,28.32
63,AOSL,Technology,USA,Small,26.05
64,APA,Energy,USA,Mid,5.12
65,APD,Basic Materials,USA,Large,28.34
66,APH,Technology,USA,Large,24.18
67,APOG,Industrials,USA,Small,8.20
68,APPS,Technology,USA,Small,25.56
69,APT,Industrials,Canada,Small,21.20
70,ARCO,Consumer Cyclical,Uruguay,Small,12.61
71,ARI,Real Estate,USA,Small,5.34
72,AROW,Financial,USA,Small,6.06
73,ARTNA,Utilities,USA,Small,28.99
74,ASB,Financial,USA,Mid,5.73
75,ASC,Industrials,Bermuda,Small,2.66
76,ASGN,Technology,USA,Mid,13.01
77,ASH,Basic Materials,USA,Mid,20.21
78,ASIX,Basic Materials,USA,Small,6.72
79,ASML,Technology,Netherlands,Large,34.31
80,ASO,Consumer Cyclical,USA,Mid,7.46
81,ATGE,Consumer Defensive,USA,Small,23.53
